Date,Portfolio,SPY
2022-09-28,4833684.773453666,207811.21429410964
2022-09-29,4633965.353271734,203473.60996826037
2022-09-30,4535846.208283563,200329.14070765147
2022-10-03,4669332.371198542,205613.0245680017
2022-10-04,4975260.742488638,211984.24826613266
2022-10-05,4966995.454920254,211490.53720465387
2022-10-06,4908648.926693807,209309.98001645596
2022-10-07,4777374.60417259,203473.60996826037
2022-10-10,4725728.685337828,201921.9466321842
2022-10-11,4712650.868324473,200640.64887739407
2022-10-12,4708757.6936153285,199976.48994945237
2022-10-13,4838070.907789013,205254.49629716598
2022-10-14,4643041.980147469,200575.9962383909
2022-10-17,4900524.494247937,205730.5748207348
2022-10-18,4905280.016323388,208152.11002703547
2022-10-19,4769313.73353957,206676.8543552358
2022-10-20,4760885.493444954,204942.9881274234
2022-10-21,4896725.5210217405,209921.24133066775
2022-10-24,4955154.112536484,212489.71435288468
2022-10-25,5111812.4482059665,215886.91665686964
2022-10-26,5132880.449760351,214258.845656517
2022-10-27,5153606.5944975875,213112.73069236983
2022-10-28,5312832.592573306,218185.02409780063
2022-10-31,5299272.629947114,216609.85071117783
2022-11-01,5361477.479686754,215657.69366404015
2022-11-02,5226442.472932918,210250.38203832018
2022-11-03,5227820.72883706,208081.5798753955
2022-11-04,5434904.8141246885,211079.1113200881
2022-11-07,5512694.854733563,213095.0981544598
2022-11-08,5551290.487751158,214247.0906312436
2022-11-09,5420816.990503043,209833.07864111787
2022-11-10,5741548.146114073,221364.75843422936
2022-11-11,5858844.085220935,223504.17303397076
2022-11-14,5915400.280266752,221605.73645233214
2022-11-15,6026741.531299012,223498.29552133413
2022-11-16,5922780.224107423,221787.9393440684
2022-11-17,5863451.99509845,221112.0253908534
2022-11-18,5896276.059316632,222117.08005172093
2022-11-21,5908697.317912382,221305.98330786292
2022-11-22,5992444.7510215435,224285.8822146456
2022-11-23,6034897.890150985,225702.36276007871
2022-11-25,6049788.93225941,225649.46514634884
2022-11-28,5962167.251564182,222046.54990008107
2022-11-29,6026809.375805797,221664.5115786987
2022-11-30,6172480.282485834,228646.99659104142
2022-12-01,6125665.089508879,228482.42623721514
2022-12-02,6129258.316183021,228217.9381685658
