rebalance_date,data_date,ticker,score,rank
2018-06-15,2018-06-15,UAL,0.570536,6
2018-06-15,2018-06-15,PG,0.570134,7
2018-06-15,2018-06-15,GE,0.568649,8
2018-06-15,2018-06-15,MSFT,0.568407,9
2018-06-15,2018-06-15,KO,0.566624,10
2018-06-15,2018-06-15,AMGN,0.563915,11
2018-06-15,2018-06-15,V,0.561164,12
2018-06-15,2018-06-15,CVS,0.559123,13
2018-06-15,2018-06-15,CRM,0.55816,14
2018-06-15,2018-06-15,BN,0.557104,15
2018-06-22,2018-06-22,NVDA,0.614185,1
2018-06-22,2018-06-22,HON,0.60106,2
2018-06-22,2018-06-22,PEP,0.595387,3
2018-06-22,2018-06-22,PG,0.583257,4
2018-06-22,2018-06-22,BN,0.582541,5
2018-06-22,2018-06-22,AAPL,0.581193,6
2018-06-22,2018-06-22,INTC,0.576175,7
2018-06-22,2018-06-22,COST,0.575103,8
2018-06-22,2018-06-22,PFE,0.572013,9
2018-06-22,2018-06-22,V,0.570219,10
2018-06-22,2018-06-22,GM,0.567852,11
2018-06-22,2018-06-22,KO,0.565233,12
2018-06-22,2018-06-22,CRM,0.560467,13
2018-06-22,2018-06-22,MSFT,0.558274,14
2018-06-22,2018-06-22,F,0.557599,15
2018-06-29,2018-06-29,SCHW,0.650402,1
2018-06-29,2018-06-29,F,0.649066,2
2018-06-29,2018-06-29,RJF,0.644165,3
2018-06-29,2018-06-29,HON,0.632661,4
2018-06-29,2018-06-29,GEF,0.628381,5
2018-06-29,2018-06-29,PG,0.599695,6
2018-06-29,2018-06-29,GM,0.597882,7
2018-06-29,2018-06-29,MU,0.597013,8
2018-06-29,2018-06-29,COST,0.596346,9
2018-06-29,2018-06-29,KDP,0.592345,10
2018-06-29,2018-06-29,PEP,0.589869,11
2018-06-29,2018-06-29,BN,0.584677,12
2018-06-29,2018-06-29,MSFT,0.584252,13
2018-06-29,2018-06-29,AVGO,0.58282,14
2018-06-29,2018-06-29,V,0.580468,15
2018-07-06,2018-07-06,KDP,0.626307,1
2018-07-06,2018-07-06,PG,0.615513,2
2018-07-06,2018-07-06,HON,0.609442,3
2018-07-06,2018-07-06,BKNG,0.603834,4
2018-07-06,2018-07-06,IBKR,0.601337,5
2018-07-06,2018-07-06,COST,0.598059,6
2018-07-06,2018-07-06,FDX,0.597246,7
2018-07-06,2018-07-06,GE,0.593859,8
2018-07-06,2018-07-06,BN,0.592637,9
2018-07-06,2018-07-06,MELI,0.584935,10
2018-07-06,2018-07-06,AAPL,0.581853,11
2018-07-06,2018-07-06,MSFT,0.578688,12
2018-07-06,2018-07-06,NVDA,0.575107,13
2018-07-06,2018-07-06,UAL,0.573603,14
2018-07-06,2018-07-06,PEP,0.573471,15
2018-07-13,2018-07-13,AVGO,0.641371,1
2018-07-13,2018-07-13,MELI,0.620394,2
2018-07-13,2018-07-13,HON,0.598661,3
2018-07-13,2018-07-13,MSFT,0.590263,4
2018-07-13,2018-07-13,BN,0.585031,5
2018-07-13,2018-07-13,BA,0.582193,6
2018-07-13,2018-07-13,COST,0.572105,7
2018-07-13,2018-07-13,AXP,0.568519,8
2018-07-13,2018-07-13,IBKR,0.567636,9
2018-07-13,2018-07-13,PG,0.566538,10
2018-07-13,2018-07-13,V,0.565218,11
2018-07-13,2018-07-13,BKNG,0.563773,12
2018-07-13,2018-07-13,CVS,0.563376,13
2018-07-13,2018-07-13,IBM,0.56304,14
2018-07-13,2018-07-13,GE,0.562343,15
2018-07-20,2018-07-20,HON,0.608795,1
2018-07-20,2018-07-20,AMGN,0.581257,2
2018-07-20,2018-07-20,PG,0.579868,3
2018-07-20,2018-07-20,PFE,0.579072,4
2018-07-20,2018-07-20,MSFT,0.574924,5
2018-07-20,2018-07-20,JNJ,0.574801,6
2018-07-20,2018-07-20,IBM,0.572234,7
2018-07-20,2018-07-20,AXP,0.569056,8
2018-07-20,2018-07-20,AMD,0.565893,9
2018-07-20,2018-07-20,AVGO,0.564007,10
2018-07-20,2018-07-20,BN,0.562984,11
2018-07-20,2018-07-20,COST,0.55912,12
2018-07-20,2018-07-20,BKNG,0.557695,13
2018-07-20,2018-07-20,CSCO,0.556527,14
2018-07-20,2018-07-20,AAPL,0.556381,15
2018-07-27,2018-07-27,HON,0.610839,1
2018-07-27,2018-07-27,F,0.609733,2
2018-07-27,2018-07-27,AXP,0.60476,3
2018-07-27,2018-07-27,JNJ,0.60231,4
2018-07-27,2018-07-27,V,0.590511,5
2018-07-27,2018-07-27,BN,0.5877,6
2018-07-27,2018-07-27,MSFT,0.583876,7
2018-07-27,2018-07-27,IBM,0.579437,8
2018-07-27,2018-07-27,PG,0.576839,9
2018-07-27,2018-07-27,PFE,0.572695,10
2018-07-27,2018-07-27,COST,0.572436,11
2018-07-27,2018-07-27,FDX,0.56975,12
2018-07-27,2018-07-27,PEP,0.566646,13
2018-07-27,2018-07-27,NVDA,0.566196,14
2018-07-27,2018-07-27,MELI,0.565912,15
2018-08-03,2018-08-03,HON,0.613368,1
2018-08-03,2018-08-03,JNJ,0.598202,2
2018-08-03,2018-08-03,V,0.595296,3
2018-08-03,2018-08-03,AXP,0.594919,4
2018-08-03,2018-08-03,COST,0.59336,5
2018-08-03,2018-08-03,IBM,0.588434,6
2018-08-03,2018-08-03,MU,0.587097,7
2018-08-03,2018-08-03,AMGN,0.585989,8
2018-08-03,2018-08-03,BN,0.581917,9
2018-08-03,2018-08-03,GM,0.57806,10
2018-08-03,2018-08-03,MSFT,0.577269,11
2018-08-03,2018-08-03,NFLX,0.572189,12
2018-08-03,2018-08-03,GE,0.570601,13
2018-08-03,2018-08-03,INTC,0.568342,14
2018-08-03,2018-08-03,WMT,0.567018,15
2018-08-10,2018-08-10,KKR,0.622443,1
2018-08-10,2018-08-10,HON,0.603892,2
2018-08-10,2018-08-10,AAPL,0.592665,3
2018-08-10,2018-08-10,JNJ,0.590212,4
2018-08-10,2018-08-10,MSFT,0.586478,5
2018-08-10,2018-08-10,GM,0.583614,6
2018-08-10,2018-08-10,F,0.581858,7
2018-08-10,2018-08-10,V,0.581097,8
2018-08-10,2018-08-10,COST,0.580344,9
2018-08-10,2018-08-10,AXP,0.57894,10
2018-08-10,2018-08-10,MU,0.578131,11
2018-08-10,2018-08-10,PG,0.577464,12
2018-08-10,2018-08-10,SYF,0.575819,13
2018-08-10,2018-08-10,ANET,0.572148,14
2018-08-10,2018-08-10,KO,0.570036,15
2018-08-17,2018-08-17,BKNG,0.627696,1
2018-08-17,2018-08-17,MU,0.626316,2
2018-08-17,2018-08-17,COST,0.605656,3
2018-08-17,2018-08-17,HON,0.604999,4
2018-08-17,2018-08-17,F,0.603485,5
2018-08-17,2018-08-17,KKR,0.60296,6
2018-08-17,2018-08-17,BKR,0.600714,7
2018-08-17,2018-08-17,AXP,0.598901,8
2018-08-17,2018-08-17,JNJ,0.596131,9
2018-08-17,2018-08-17,META,0.595157,10
2018-08-17,2018-08-17,V,0.591434,11
2018-08-17,2018-08-17,CSCO,0.586809,12
2018-08-17,2018-08-17,MSFT,0.586798,13
2018-08-17,2018-08-17,AMGN,0.585392,14
2018-08-17,2018-08-17,IBM,0.583915,15
2018-08-24,2018-08-24,PEP,0.624172,1
2018-08-24,2018-08-24,COST,0.611251,2
2018-08-24,2018-08-24,AXP,0.59885,3
2018-08-24,2018-08-24,SYF,0.588353,4
2018-08-24,2018-08-24,MSFT,0.586026,5
2018-08-24,2018-08-24,BKNG,0.584964,6
2018-08-24,2018-08-24,V,0.583554,7
2018-08-24,2018-08-24,IBM,0.58253,8
2018-08-24,2018-08-24,HON,0.578916,9
2018-08-24,2018-08-24,CSCO,0.57835,10
2018-08-24,2018-08-24,KO,0.575444,11
2018-08-24,2018-08-24,MU,0.573935,12
2018-08-24,2018-08-24,INTC,0.573686,13
2018-08-24,2018-08-24,AMGN,0.573505,14
2018-08-24,2018-08-24,JNJ,0.572255,15
2018-08-31,2018-08-31,NFLX,0.620181,1
2018-08-31,2018-08-31,AXP,0.612705,2
2018-08-31,2018-08-31,HON,0.609059,3
2018-08-31,2018-08-31,MU,0.608629,4
2018-08-31,2018-08-31,MSFT,0.604589,5
2018-08-31,2018-08-31,IBM,0.599357,6
2018-08-31,2018-08-31,AVGO,0.596384,7
2018-08-31,2018-08-31,KDP,0.592869,8
2018-08-31,2018-08-31,GE,0.586676,9
2018-08-31,2018-08-31,JNJ,0.582111,10
2018-08-31,2018-08-31,V,0.581534,11
2018-08-31,2018-08-31,SYF,0.580247,12
2018-08-31,2018-08-31,PFE,0.576912,13
2018-08-31,2018-08-31,BKNG,0.575635,14
2018-08-31,2018-08-31,PEP,0.572531,15
2018-09-07,2018-09-07,HON,0.61789,1
2018-09-07,2018-09-07,AXP,0.615589,2
2018-09-07,2018-09-07,PG,0.604444,3
2018-09-07,2018-09-07,GOOG,0.598829,4
2018-09-07,2018-09-07,JNJ,0.591634,5
2018-09-07,2018-09-07,META,0.589782,6
2018-09-07,2018-09-07,BKNG,0.585237,7
2018-09-07,2018-09-07,MSFT,0.581559,8
2018-09-07,2018-09-07,IBM,0.577644,9
2018-09-07,2018-09-07,AMD,0.576458,10
2018-09-07,2018-09-07,V,0.575245,11
2018-09-07,2018-09-07,AVGO,0.571367,12
2018-09-07,2018-09-07,PFE,0.570386,13
2018-09-07,2018-09-07,KKR,0.566986,14
2018-09-07,2018-09-07,KO,0.563342,15
2018-09-14,2018-09-14,V,0.627868,1
2018-09-14,2018-09-14,AXP,0.625279,2
2018-09-14,2018-09-14,HON,0.624009,3
2018-09-14,2018-09-14,NFLX,0.591927,4
2018-09-14,2018-09-14,IBM,0.589956,5
2018-09-14,2018-09-14,JNJ,0.588949,6
2018-09-14,2018-09-14,MSFT,0.588515,7
2018-09-14,2018-09-14,ANET,0.585952,8
2018-09-14,2018-09-14,INTC,0.582972,9
2018-09-14,2018-09-14,BA,0.581981,10
2018-09-14,2018-09-14,AVGO,0.57982,11
2018-09-14,2018-09-14,AMGN,0.576626,12
2018-09-14,2018-09-14,BN,0.573305,13
2018-09-14,2018-09-14,BKNG,0.572882,14
